__v,_id,date,date_recorded,is_checked_off,item_footprint_g_100g,item_footprint_sourcenote,item_group,item_kcal_100g,item_product,item_product_detail,item_receipt_desc,item_subgroup,item_unit_price_gbp,item_units,item_weight_g,store,store_branche,time,user
3,6459040b808bc1bbbb9bceb5,02/05/2023,2023-05-07T22:05:55.550Z,false,0,NOT FOOD,NOT FOOD,0,NOT FOOD,,Tesco Thick Bleach Citrus 750Ml,NOT FOOD,0.6,1,0,Tesco,,10:00,644fad889a8aa035fb824333
1,6459040b808bc1bbbb9bceb9,05/05/2023,2023-05-08T11:04:00.000Z,true,43,Tesco Products Carbon Footprint Summary 2012,Vegetables,28,Onions,,red onion,Misc vegetables,,1,160,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcebb,05/05/2023,2023-05-08T11:04:00.000Z,true,150,"Scarborough P, Appleby PN, Mizdrak A, et al. Dietary greenhouse gas emissions of meat-eaters, fish-eaters, vegetarians and vegans in the UK. Clim Change. 2014;125(2):179-192. https:/doi.org/10.1007/s10584-014-1169-15",Vegetables,26,Tomatoes,,tomato,Tomatoes,,1,70,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcec7,05/05/2023,2023-05-08T11:04:00.000Z,true,68,Tesco Products Carbon Footprint Summary 2012,Vegetables,110,Garlic,,garlic cloves,Misc vegetables,,2,10,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bceca,05/05/2023,2023-05-08T11:04:00.000Z,true,22,myemissions.green,Cupboard,35,Cooking Sause,,﻿﻿40g hoisin sauce,Sauces,,1,40,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcecb,05/05/2023,2023-05-08T11:04:00.000Z,true,22,myemissions.green,Cupboard,35,Cooking Sause,,﻿﻿15ml soy sauce,Sauces,,1,15,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcecd,05/05/2023,2023-05-08T11:04:00.000Z,true,88,Tesco Products Carbon Footprint Summary 2012,Vegetables,44,Ginger,,15g fresh root ginger,Misc vegetables,,1,15,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bced2,05/05/2023,2023-05-08T11:04:00.000Z,true,300,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Vegetables,23,Bell Pepper,,sweet pointed pepper,Red and Orange Vegetables,,1,170,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bceda,05/05/2023,2023-05-08T11:04:00.000Z,true,150,"Scarborough P, Appleby PN, Mizdrak A, et al. Dietary greenhouse gas emissions of meat-eaters, fish-eaters, vegetarians and vegans in the UK. Clim Change. 2014;125(2):179-192. https:/doi.org/10.1007/s10584-014-1169-15",Vegetables,26,Tomatoes,,200g finely chopped tomatoes,Tomatoes,,1,200,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcee1,12/05/2023,2023-05-08T11:04:00.000Z,true,210,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Cupboard,1,Herbs,,tsp dried oregano,Condiments,,1,2,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcee9,12/05/2023,2023-05-08T11:04:00.000Z,true,210,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Cupboard,1,Herbs,,10g chives,Condiments,,1,4,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bceea,12/05/2023,2023-05-08T11:04:00.000Z,true,30,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Cereals & Potatoes,,Potatoes,,400g waxy potatoes,Potatoes,,1,400,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcef2,12/05/2023,2023-05-08T11:04:00.000Z,true,711,myemissions.green,Dairy & Alternatives,,Feta,,100g Greek salad cheese,Cheese,,1,100,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcef3,12/05/2023,2023-05-08T11:04:00.000Z,true,91,Tesco Products Carbon Footprint Summary 2012,Protein Sources,89,Beans,,390g black beans,Pulses,,1,390,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcef5,28/04/2023,2023-05-08T11:04:00.000Z,true,68,Tesco Products Carbon Footprint Summary 2012,Vegetables,110,Garlic,,garlic clove,Misc vegetables,,1,5,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcef8,28/04/2023,2023-05-08T11:04:00.000Z,true,100,Tesco Products Carbon Footprint Summary 2012,Cupboard,206,Coconut Cream,,25g solid creamed coconut,Sauces,,1,25,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcef9,28/04/2023,2023-05-08T11:04:00.000Z,true,120,"Scarborough P, Appleby PN, Mizdrak A, et al. Dietary greenhouse gas emissions of meat-eaters, fish-eaters, vegetarians and vegans in the UK. Clim Change. 2014;125(2):179-192. https:/doi.org/10.1007/s10584-014-1169-10",Vegetables,72,Peas,,160g blanched peas,Starchy Vegetables,,1,160,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcefb,28/04/2023,2023-05-08T11:04:00.000Z,true,88,Tesco Products Carbon Footprint Summary 2012,Vegetables,44,Ginger,,15g fresh root ginger,Misc vegetables,,1,15,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcefc,28/04/2023,2023-05-08T11:04:00.000Z,true,70,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Vegetables,27,Butternut Squash,,320g butternut squash cubes,Red and Orange Vegetables,,1,320,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcf03,28/04/2023,2023-05-08T11:04:00.000Z,true,68,Tesco Products Carbon Footprint Summary 2012,Vegetables,110,Garlic,,garlic clove,Misc vegetables,,1,5,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcf06,28/04/2023,2023-05-08T11:04:00.000Z,true,30,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Cereals & Potatoes,,Potatoes,,white potatoes,Potatoes,,4,600,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcf09,28/04/2023,2023-05-08T11:04:00.000Z,true,700,Tesco Products Carbon Footprint Summary 2012,Cupboard,6,Stock Cubes,,11g vegetable stock mix,Condiments,,1,11,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcf0b,28/04/2023,2023-05-08T11:04:00.000Z,true,450,Tesco Products Carbon Footprint Summary 2012,Protein Sources,131,Eggs,,British barn eggs,Eggs,,2,136,Gusto,,18:00,644a92769a8aa035fb824217
3,6459040b808bc1bbbb9bceaa,02/05/2023,2023-05-07T22:05:55.550Z,true,1080,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Dairy & Alternatives,279,Mozzarella,,Tesco Baby Plum Tomatoes 325G,Cheese,1.1,1,250,Tesco,,10:00,644fad889a8aa035fb824333
3,6459040b808bc1bbbb9bceaf,02/05/2023,2023-05-07T22:05:55.550Z,true,150,"Scarborough P, Appleby PN, Mizdrak A, et al. Dietary greenhouse gas emissions of meat-eaters, fish-eaters, vegetarians and vegans in the UK. Clim Change. 2014;125(2):179-192. https:/doi.org/10.1007/s10584-014-1169-15",Vegetables,26,Tomatoes,,Tesco Salad Tomatoes 0.200KG,Tomatoes,2.35,1,200,Tesco,,10:00,644fad889a8aa035fb824333
3,6459040b808bc1bbbb9bceb0,02/05/2023,2023-05-07T22:05:55.550Z,true,55,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Fruits,54,Apples,,Large Braeburn Apples Loose Class 1 1.588KG,Pomes,2.6,1,1588,Tesco,,10:00,644fad889a8aa035fb824333
3,6459040b808bc1bbbb9bceb3,02/05/2023,2023-05-07T22:05:55.550Z,true,43,Tesco Products Carbon Footprint Summary 2012,Vegetables,28,Onions,,Loose Red Onions Class 2 1.310KG,Misc vegetables,1,1,1310,Tesco,,10:00,644fad889a8aa035fb824333
1,6459040b808bc1bbbb9bceba,05/05/2023,2023-05-08T11:04:00.000Z,true,130,Tesco Products Carbon Footprint Summary 2012,Vegetables,20,Aubergine,,aubergine,Misc vegetables,,1,250,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcec2,05/05/2023,2023-05-08T11:04:00.000Z,true,160,"Scarborough P, Appleby PN, Mizdrak A, et al. Dietary greenhouse gas emissions of meat-eaters, fish-eaters, vegetarians and vegans in the UK. Clim Change. 2014;125(2):179-192. https:/doi.org/10.1007/s10584-014-1169-14",Cupboard,1,Spices,,1/2 tsp dried chilli flakes,Condiments,,1,1.7,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcec3,05/05/2023,2023-05-08T11:04:00.000Z,true,210,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Cupboard,1,Herbs,,tsp dried oregano,Condiments,,1,1.7,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcec5,05/05/2023,2023-05-08T11:04:00.000Z,true,160,"Scarborough P, Appleby PN, Mizdrak A, et al. Dietary greenhouse gas emissions of meat-eaters, fish-eaters, vegetarians and vegans in the UK. Clim Change. 2014;125(2):179-192. https:/doi.org/10.1007/s10584-014-1169-14",Cupboard,1,Spices,,tsp ground cumin,Condiments,,1,3.4,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcec6,05/05/2023,2023-05-08T11:04:00.000Z,true,588,Tesco Products Carbon Footprint Summary 2012,Vegetables,20,Chillies,,red chilli,Red and Orange Vegetables,,1,20,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcec8,05/05/2023,2023-05-08T11:04:00.000Z,true,105,myemissions.green,Vegetables,25,Spring onion,,spring onions,Misc vegetables,,2,40,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bced0,05/05/2023,2023-05-08T11:04:00.000Z,true,68,Tesco Products Carbon Footprint Summary 2012,Vegetables,110,Garlic,,garlic cloves,Misc vegetables,,2,10,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bced3,05/05/2023,2023-05-08T11:04:00.000Z,true,210,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Cupboard,1,Herbs,,dried bay leaf,Condiments,,1,1,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bced4,05/05/2023,2023-05-08T11:04:00.000Z,true,210,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Cupboard,1,Herbs,,100g basa fillets,Condiments,,2,2,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bced6,05/05/2023,2023-05-08T11:04:00.000Z,true,160,"Scarborough P, Appleby PN, Mizdrak A, et al. Dietary greenhouse gas emissions of meat-eaters, fish-eaters, vegetarians and vegans in the UK. Clim Change. 2014;125(2):179-192. https:/doi.org/10.1007/s10584-014-1169-14",Cupboard,1,Spices,,tsp smoked paprika,Condiments,,1,3.4,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcedd,12/05/2023,2023-05-08T11:04:00.000Z,true,210,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Cupboard,1,Herbs,,dried bay leaf,Condiments,,1,1,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcee0,12/05/2023,2023-05-08T11:04:00.000Z,true,200,Tesco Products Carbon Footprint Summary 2012,Protein Sources,96,Lentils,,185g canned green lentils,Pulses,,1,185,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcee2,12/05/2023,2023-05-08T11:04:00.000Z,true,50,Tesco Products Carbon Footprint Summary 2012,Cereals & Potatoes,164,Gnocchi,,250g gnocchi,Potatoes,,1,250,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcee3,12/05/2023,2023-05-08T11:04:00.000Z,true,700,Tesco Products Carbon Footprint Summary 2012,Cupboard,6,Stock Cubes,,5.5g vegetable stock mix,Condiments,,1,5.5,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcee4,12/05/2023,2023-05-08T11:04:00.000Z,true,1860,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Dairy & Alternatives,402,Parmesan,,30g grated Italian hard cheese,Cheese,,1,30,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcee7,12/05/2023,2023-05-08T11:04:00.000Z,true,51,Tesco Products Carbon Footprint Summary 2012,Fruits,20,Limes,,lime,Citrus fruits,,1,50,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcee8,12/05/2023,2023-05-08T11:04:00.000Z,true,68,Tesco Products Carbon Footprint Summary 2012,Vegetables,110,Garlic,,garlic clove,Misc vegetables,,1,5,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcf04,28/04/2023,2023-05-08T11:04:00.000Z,true,105,myemissions.green,Vegetables,25,Spring onion,,spring onion,Misc vegetables,,1,20,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcf08,28/04/2023,2023-05-08T11:04:00.000Z,true,22,myemissions.green,Cupboard,35,Cooking Sause,,20g chipotle paste,Sauces,,1,20,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcf0a,28/04/2023,2023-05-08T11:04:00.000Z,true,160,"Scarborough P, Appleby PN, Mizdrak A, et al. Dietary greenhouse gas emissions of meat-eaters, fish-eaters, vegetarians and vegans in the UK. Clim Change. 2014;125(2):179-192. https:/doi.org/10.1007/s10584-014-1169-14",Cupboard,1,Spices,,1/2 tsp cayenne pepper,Condiments,,1,1.7,Gusto,,18:00,644a92769a8aa035fb824217
3,6459040b808bc1bbbb9bcea7,02/05/2023,2023-05-07T22:05:55.550Z,true,386,Tesco Products Carbon Footprint Summary 2012,Vegetables,8,Mushrooms,,Tesco Closed Cup Mushrooms 400G,Misc vegetables,1.25,2,400,Tesco,,10:00,644fad889a8aa035fb824333
3,6459040b808bc1bbbb9bcead,02/05/2023,2023-05-07T22:05:55.550Z,true,290,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Fruits,287,Dried Fruit,,Whitworths Dried Golden Malatya Apricots 140G,Dried Fruit,2,2,140,Tesco,,10:00,644fad889a8aa035fb824333
2,6459040b808bc1bbbb9bceae,02/05/2023,2023-05-07T22:05:55.550Z,true,90,Tesco Products Carbon Footprint Summary 2012,Vegetables,21,Tomato Passata,,Napolina Passata 690G,Tomatoes,1.5,1,690,Tesco,,10:00,644fad889a8aa035fb824333
3,6459040b808bc1bbbb9bceb1,02/05/2023,2023-05-07T22:05:55.550Z,true,97,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Dairy & Alternatives,,Soy Milk,,Growers Harvest Unsweetened Soya Drink 1L,Milk & Alt.,0.5,2,1000,Tesco,,10:00,644fad889a8aa035fb824333
3,6459040b808bc1bbbb9bceb6,02/05/2023,2023-05-07T22:05:55.550Z,true,290,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Fruits,287,Dried Fruit,,Tesco Flame Raisins 500G,Dried Fruit,2.95,1,500,Tesco,,10:00,644fad889a8aa035fb824333
3,6459040b808bc1bbbb9bceb7,02/05/2023,2023-05-07T22:05:55.550Z,true,83,Tesco Products Carbon Footprint Summary 2012,Cupboard,155,Coconut milk,,Dunns River Coconut Milk 400Ml,Sauces,1.1,2,400,Tesco,,10:00,644fad889a8aa035fb824333
3,6459040b808bc1bbbb9bceb8,02/05/2023,2023-05-07T22:05:55.550Z,true,92,Tesco Products Carbon Footprint Summary 2012,"Bread, Bakery & Breakfast Cereals",239,Bread,,New York Bakery Sesame Bagels 5 Pack,Bread,1.9,1,425,Tesco,,10:00,644fad889a8aa035fb824333
1,6459040b808bc1bbbb9bcebc,05/05/2023,2023-05-08T11:04:00.000Z,true,68,Tesco Products Carbon Footprint Summary 2012,Vegetables,110,Garlic,,garlic clove,Misc vegetables,,1,5,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcebd,05/05/2023,2023-05-08T11:04:00.000Z,true,210,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Cupboard,1,Herbs,,5g dill,Condiments,,1,1,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcebe,05/05/2023,2023-05-08T11:04:00.000Z,true,200,Tesco Products Carbon Footprint Summary 2012,Protein Sources,96,Lentils,,250g cooked black beluga lentils,Pulses,,1,250,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcec1,05/05/2023,2023-05-08T11:04:00.000Z,true,240,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Dairy & Alternatives,105,Yoghurt,,80g natural yoghurt,Yoghurt & Alt.,,1,80,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcec4,05/05/2023,2023-05-08T11:04:00.000Z,true,700,Tesco Products Carbon Footprint Summary 2012,Cupboard,6,Stock Cubes,,11g vegetable stock mix,Condiments,,1,11,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcecc,05/05/2023,2023-05-08T11:04:00.000Z,true,386,Tesco Products Carbon Footprint Summary 2012,Vegetables,8,Mushrooms,,250g chestnut mushrooms,Misc vegetables,,1,250,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcece,05/05/2023,2023-05-08T11:04:00.000Z,true,150,"How bad are bananas? the carbon footprint of everything (Mike Berners Lee, 2020)",Cereals & Potatoes,348,Pasta,,wholewheat noodle nests,Pasta,,2,120,Gusto,,18:00,644a92769a8aa035fb824217
1,6459040b808bc1bbbb9bcecf,05/05/2023,2023-05-08T11:04:00.000Z,true,420,"Scarborough P, Appleby PN, Mizdrak A, et al. Dietary greenhouse gas emissions of meat-eaters, fish-eaters, vegetarians and vegans in the UK. Clim Change. 2014;125(2):179-192. https:/doi.org/10.1007/s10584-014-1169-12",Fats,900,Sesameseed Oil,,10ml toasted sesame oil,Oil,,1,10,Gusto,,18:00,644a92769a8aa035fb824217
