user_ID,Pseudo names,user_start,household_ID,hh_start,hh_receipt_id,day_recorded,rcpt_C02_ave,rcpt_C02_total,rcpt_weight,rcpt_items_n
31,Emma,2023-05-03T17:30:00Z,13,2023-05-03T17:30:00Z,4,12.6186400462963,261.08327553750127,5270227,20186,47
31,Emma,2023-05-03T17:30:00Z,13,2023-05-03T17:30:00Z,5,11.0380494212966,156.43993183754614,1101650,7042,19
28,James,2023-05-03T17:30:00Z,13,2023-05-03T17:30:00Z,6,11.0757061342591,274.0328209389281,1319194,4814,9
28,James,2023-05-03T17:30:00Z,13,2023-05-03T17:30:00Z,7,11.0759983796295,1525.896013864818,880442,577,3
11,Emily,2023-04-24T11:00:00Z,1,2023-04-24T11:00:00Z,6,20.9708168981473,188.57345360824743,1463330,7760,16
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,6,12.9444561342591,182.4787759131293,3697020,20260,17
27,Nick,2023-05-03T10:20:00Z,12,2023-05-03T10:20:00Z,4,12.1827908564828,146.56637635259963,555340,3789,11
29,Sara,2023-05-04T09:00:00Z,14,2023-05-04T09:00:00Z,4,11.3305157407401,178.6147932131495,1347470,7544,18
28,James,2023-05-03T17:30:00Z,13,2023-05-03T17:30:00Z,8,12.0393214120357,334.8821989528796,1279250,3820,6
29,Sara,2023-05-04T09:00:00Z,14,2023-05-04T09:00:00Z,5,12.0592148148158,182,91000,500,2
11,Emily,2023-04-24T11:00:00Z,1,2023-04-24T11:00:00Z,7,22.0971122685185,109.08474576271186,128720,1180,3
30,Simon,2023-05-04T09:00:00Z,14,2023-05-04T09:00:00Z,6,12.3768681712973,286.94797687861274,992840,3460,5
27,Nick,2023-05-03T10:20:00Z,12,2023-05-03T10:20:00Z,5,13.1726079861102,217.18581907090464,888290,4090,6
13,Alice,2023-04-25T11:40:00Z,3,2023-04-25T11:40:00Z,6,21.2883347222209,97.79553903345725,263070,2690,4
17,Phil,2023-04-26T10:30:00Z,6,2023-04-26T10:30:00Z,11,20.9075172453705,55,53625,975,1
20,Tom,2023-04-27T16:00:00Z,8,2023-04-27T16:00:00Z,11,19.6747614583345,275.9335959482273,2451670,8885,20
